Name,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pHsulphates,alcohol,quality
Orbel Riesling 2017,0.28,0.16,1.3,0.06,36.0,126.0,0.99353,3.13,0.46,8.7,6
Petit Chablis 2018,0.32,0.35,1.5,0.039,24.0,125.0,0.9918,3.17,0.64,12.2,6
Zieregg Morillon 2017,0.26,0.34,6.4,0.05,36.0,163.0,0.9937,3.19,0.7,11.5,6
Sauvignon Blanc 2019,0.32,0.28,6.6,0.021,29.0,132.0,0.99188,3.15,0.36,11.45,7
Alte Reben Riesling 2016,0.15,0.33,1.1,0.027,16.0,63.0,0.9937,3.37,0.4,9.9,5
Pierneef Collection Sauvignon Blanc 2018,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62,9.5,5
Two Princes Riesling 2018,0.3,0.22,5.25,0.053,33.0,180.0,0.9926,3.13,0.45,11.6,6
Just Riesling! 2012,0.29,0.21,9.65,0.041,36.0,119.0,0.99334,2.99,0.34,10.9333333333333,6
Essence du Cap Sauvignon Blanc 2017,0.22,0.3,1.8,0.047,47.0,185.0,0.9933,3.13,0.5,10.2,6
Chenin Blanc 2019,0.4,0.37,8.9,0.053,36.0,148.0,0.996,3.16,0.5,9.3,5
Pinot Grigio delle Venezie 2019,0.34,0.25,12.1,0.059,33.0,171.0,0.99769,3.14,0.56,8.7,6
Château Grenouilles Chablis Grand Cru 2014,0.24,0.22,1.5,0.038,38.0,157.0,0.9934,3.41,0.55,9.9,6
Esprit de Crès Ricards Viognier 2016,0.16,0.18,1.8,0.046,31.0,114.0,0.99226,3.27,0.55,10.8,6
Isliedh 2018,0.17,0.27,9.9,0.047,26.0,101.0,0.99596,3.34,0.5,9.9,6
White Label Nik Weis Schiefer Riesling 2018,0.16,0.41,1.7,0.026,29.0,140.0,0.991,3.02,0.78,12.5,6
Falerio 2018,0.25,0.42,14.2,0.041,57.0,182.0,0.9996,3.29,0.75,9.1,7
Vinho Verde Loureiro - Alvarinho 2019,0.2,0.22,7.4,0.032,53.0,172.0,0.99404,3.24,0.58,11.0,6
Albarino 2018,0.16,0.23,1.6,0.042,14.0,67.0,0.9942,3.07,0.32,9.5,5
Sauvignon Blanc 2018,0.2,0.49,3.5,0.057,14.0,108.0,0.9928,3.19,0.35,11.5,6
Premium Tămâioasă Românească Sec 2018,0.3,0.22,5.25,0.053,33.0,180.0,0.9926,3.13,0.45,11.6,6
Mademoiselle de T Pouilly-Fumé 2018,0.14,0.37,1.1,0.034,36.0,84.0,0.99136,3.05,0.55,11.6,6
Castell De Raimat Chardonnay 2018,0.59,0.07,7.0,0.045,36.0,147.0,0.9944,3.34,0.57,9.7,6
Le Canon du Maréchal Muscat - Viognier 2018,0.31,0.33,1.2,0.036,23.0,99.0,0.9916,3.18,0.6,10.5,6
Ritme Blanc 2017,0.23,0.35,17.8,0.058,128.0,212.0,1.00241,3.44,0.43,8.9,5
Riverbank Riesling 2017,0.23,0.3,14.9,0.051,33.0,118.0,0.99835,3.04,0.54,9.0,6
Mount Hermon White 2019,0.41,0.0,1.6,0.063,36.0,87.0,0.9914,3.27,0.67,10.8,6
Alma Terra 2018,0.43,0.35,9.1,0.059,83.0,249.0,0.9971,3.37,0.5,8.5,5
Dão Rótulo Branco 2017,0.16,0.49,1.2,0.055,18.0,150.0,0.9917,3.23,0.47,11.2,6
Unwooded Chardonnay 2019,0.21,0.49,1.35,0.052,6.0,48.0,0.9911,3.15,0.28,11.4,5
Vinho Verde 2017,0.33,0.43,9.2,0.046,22.0,126.0,0.9982,3.38,0.47,9.3,5
Vulkangestein Riesling Trocken 2016,0.2,0.25,15.0,0.055,8.0,120.0,0.99767,3.19,0.53,9.6,6
Freundstück GG 2017,0.21,0.51,17.6,0.045,34.0,125.0,0.99966,3.2,0.47,8.8,6
Nierstein Riesling Trocken 2016,0.33,0.15,1.9,0.05,20.0,93.0,0.9934,3.38,0.62,9.9,5
Corton-Charlemagne Grand Cru Blanc 2016,0.28,0.39,8.7,0.051,32.0,141.0,0.9961,3.38,0.53,10.5,6
Reserva Sauvignon Blanc 2019,0.15,0.34,1.0,0.037,45.0,79.0,0.98949,2.96,0.5,11.7,6
Wehlener Sonnenuhr Riesling Auslese 2016,0.28,0.28,4.5,0.051,14.0,92.0,0.99224,3.36,0.58,11.9,6
Pettenthal Riesling GG Trocken 2016,0.25,0.36,2.1,0.034,30.0,177.0,0.99085,3.25,0.4,11.9,8
Circle of Life White 2016,0.31,0.3,8.0,0.028,33.0,122.0,0.99164,3.13,0.63,12.6,7
Terroir Selection Chenin Blanc 2017,0.15,0.39,1.8,0.043,21.0,159.0,0.9948,3.52,0.47,10.0,5
Alvarinho Deu La Deu 2018,0.35,0.67,8.3,0.053,10.0,100.0,0.9959,3.19,0.5,10.9,5
Grüner Veltliner HAID Weinviertel DAC 2018,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,5
Val dei Molini Custoza 2018,0.78,0.5,1.5,0.045,30.0,133.0,0.99104,3.25,0.48,11.7,5
Las Pizarras Chardonnay 2016,0.23,0.21,1.5,0.044,21.0,110.0,0.99138,3.3,0.57,11.0,6
Doosberg Riesling Trocken 2016,0.2,0.44,1.4,0.045,21.0,98.0,0.9924,3.15,0.46,10.0,7
Hullabaloo 2019,0.34,0.46,4.7,0.029,21.0,94.0,0.991,3.29,0.62,12.3,6
Chardonnay Fermentado en Barrica 2018,0.27,0.74,12.5,0.037,47.0,156.0,0.9981,3.04,0.44,8.7,5
Niederberg Helden Riesling GG 2016,0.32,0.35,1.6,0.092,24.0,138.0,0.99438,3.19,0.44,9.8,5
Viña Esmeralda 2019,0.21,0.21,5.1,0.097,21.0,105.0,0.9939,3.07,0.46,9.6,5
Conde de Valdemar Viura 2016,0.28,0.32,7.75,0.032,30.0,114.0,0.99158,3.12,0.64,12.8,7
Sauvignon Blanc 2019,0.29,0.29,4.8,0.06,27.0,156.0,0.99572,3.49,0.59,10.3,6
Chardonnay 2019,0.33,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5,7
Petit Chablis 2018,0.26,0.53,12.7,0.047,60.5,156.0,0.9984,3.06,0.45,9.1,6
Sauvignon Blanc 2018,0.23,0.42,5.1,0.042,37.0,144.0,0.99518,3.5,0.59,10.2,6
Hochheimer Mainterrassen Riesling 2016,0.255,0.57,10.7,0.056,66.0,171.0,0.99464,3.25,0.61,10.4,7
Kastanienbusch GG 2018,0.24,0.29,15.3,0.044,39.0,194.0,0.9982,3.06,0.47,9.6,7
Ried Schafflerberg Grüner Veltliner 2018,0.18,0.24,3.4,0.053,20.0,119.0,0.99373,3.11,0.52,9.2,6
Chardonnay 2016,0.35,0.19,10.5,0.06,15.0,82.0,0.99588,3.13,0.38,9.9,4
Sanct Valentin Chardonnay 2018,0.16,0.37,1.3,0.036,45.0,125.0,0.98964,3.19,0.51,12.4,7
Weissburgunder 2018,0.29,0.2,15.6,0.04,20.0,142.0,0.9962,3.1,0.54,10.6,5
Hard Chard 2018,0.15,0.41,12.9,0.044,79.5,183.0,0.99742,3.24,0.78,10.2,6
Kirchspiel Riesling GG 2017,0.13,0.22,12.7,0.058,24.0,183.0,0.9956,3.32,0.42,11.7,6
Terroir Littoral Chardonnay 2018,0.28,0.35,1.2,0.052,39.0,141.0,0.99108,3.44,0.69,11.3,6
Rioja Blanco Barrica 2018,0.32,0.18,1.4,0.029,26.0,104.0,0.9906,3.44,0.37,11.0,6
Blas Muñoz Chardonnay 2018,0.19,0.47,4.5,0.03,19.0,112.0,0.9922,3.56,0.45,11.2,6
Vermentino di Sardegna 2018,0.295,0.24,1.6,0.039,29.0,140.0,0.99304,3.35,0.61,10.4,7
Oktav Grauburgunder 2014,0.17,0.28,4.7,0.037,39.0,133.0,0.9931,3.41,0.46,10.8,7
Cap Maritime Chardonnay 2017,0.35,0.56,13.8,0.048,55.0,190.0,0.9993,3.07,0.58,9.4,6
Oestricher Doosberg Alte Reben Riesling Trocken 2017,0.29,0.56,11.9,0.043,66.0,230.0,0.9972,3.02,0.63,9.3,5
Chardonnay 2017,0.3,0.37,1.6,0.087,27.0,177.0,0.99438,3.09,0.5,9.8,5
Chardonnay Leithaberg 2016,0.27,0.3,9.2,0.018,23.0,96.0,0.9938,3.08,0.29,11.0,6
Chardonnay Unwooded 2019,0.165,0.22,5.7,0.047,42.0,146.0,0.9934,3.18,0.55,9.9,6
Cellar Selection Chardonnay 2016,0.25,0.27,9.05,0.039,37.0,128.0,0.9936,3.27,0.34,11.3,8
Würzburger Stein Riesling Trocken 2018,0.36,0.26,7.9,0.034,39.0,123.0,0.99119,2.99,0.3,12.2,7
Killka Chardonnay 2017,0.31,0.24,1.4,0.057,17.0,117.0,0.9928,3.16,0.35,10.5,5
Pessac-Léognan Blanc 2005,0.15,0.28,14.7,0.051,29.0,149.0,0.99792,2.96,0.39,9.0,7
Riesling Terrassen 2018,0.27,0.4,1.2,0.076,47.0,130.0,0.99185,3.13,0.45,10.3,6
Mandolás Dry 2017,0.15,0.49,1.5,0.031,17.0,122.0,0.9932,3.03,0.4,10.3,6
Prachtstück Weiss 2018,0.26,0.3,1.8,0.039,30.0,105.0,0.98995,3.48,0.52,12.5,7
Nounat 2019,0.5,0.47,1.1,0.037,23.0,126.0,0.9938,3.21,0.42,10.9,5
Verdejo 2019,0.185,0.19,7.1,0.048,36.0,110.0,0.99438,3.26,0.41,9.5,6
Blanco 2018,0.25,0.29,7.5,0.049,38.0,158.0,0.9965,3.43,0.38,9.6,5
Raízes Terroir Sauvignon Blanc 2016,0.33,0.36,2.6,0.051,26.0,126.0,0.99097,3.32,0.53,12.7,6
Gran Selección Blanco 2019,0.18,0.37,3.0,0.061,25.0,178.0,0.995,3.22,0.51,10.0,6
Sauvignon Blanc 2019,0.25,0.42,11.3,0.049,77.0,231.0,0.9966,3.24,0.52,9.5,6
Dogheria Pinot Bianco Rubicone 2018,0.345,0.26,1.9,0.043,15.0,134.0,0.9936,3.08,0.38,9.5,5
Director's Cut Chardonnay 2017,0.28,0.56,1.7,0.156,49.0,106.0,0.99354,3.1,0.37,9.2,6
Las Pizarras Chardonnay 2014,0.31,0.28,4.1,0.03,22.0,86.0,0.99062,3.31,0.38,11.7,7
ST23 Weissburgunder Trocken 2016,0.24,0.29,2.0,0.044,15.0,96.0,0.99232,3.23,0.64,10.4,8
Sauvignon Blanc 2016,0.19,0.32,18.75,0.047,32.0,193.0,1.00014,3.1,0.5,9.3,7
Cellar Selection Sauvignon Blanc 2018,0.64,0.28,4.4,0.032,19.0,78.0,0.99036,3.11,0.62,12.9,6
Edmond Sancerre 2016,0.27,0.31,18.2,0.046,55.0,252.0,1.0,3.07,0.56,8.7,5
Graacher Domprobst Riesling Auslese*** 2003,0.19,0.26,5.2,0.04,31.0,140.0,0.995,3.26,0.68,9.5,6
Chardonnay Leithaberg 2013,0.17,0.36,8.2,0.028,44.0,111.0,0.99272,3.14,0.41,12.4,6
Capitel Croce 2018,0.2,0.27,6.3,0.048,30.0,143.0,0.9966,3.25,0.5,9.1,6
Bechtheimer Riesling 2015,0.44,0.04,1.4,0.036,43.0,119.0,0.9894,3.36,0.33,12.1,8
Chiara 2018,0.27,0.24,1.2,0.044,20.0,102.0,0.9929,3.28,0.42,10.9,5
Bürgergarten Riesling 2017,0.18,0.3,1.0,0.031,23.0,73.0,0.99032,3.23,0.52,11.3,6
Sauvignon Blanc 2019,0.24,0.29,9.5,0.042,56.0,157.0,0.99586,3.11,0.51,10.1,6
Berg Schlossberg GG 2016,0.28,0.35,12.8,0.048,63.0,229.0,0.9975,3.08,0.4,8.9,5
Villa Antinori Toscana Bianco 2019,0.335,0.3,2.5,0.071,27.0,128.0,0.9924,3.14,0.51,9.6,6
Loibner Grüner Veltliner Smaragd Vinothekfüllung 2017,0.29,0.3,13.0,0.043,46.0,238.0,0.9986,3.06,0.41,8.7,6
Danie de Wet Chardonnay 2018,0.2,0.26,14.7,0.045,53.0,125.0,0.998365,2.99,0.69,9.4,6
Zeltinger Schlossberg Riesling Trockenbeerenauslese 2006,0.28,0.35,15.3,0.056,31.0,117.0,0.9998,3.27,0.5,9.6,5
The Y Series Unwooded Chardonnay 2019,0.24,0.36,20.8,0.031,40.0,139.0,0.9975,3.2,0.33,11.0,6
Pinot Bianco 2017,0.3,0.3,2.3,0.048,40.0,150.0,0.98944,3.29,0.46,12.2,6
La Falaise Languedoc Blanc 2016,0.35,0.47,2.2,0.11,14.0,138.0,0.9932,3.09,0.5,9.1,5
Vernaccia di San Gimignano Riserva 2012,0.16,0.3,9.6,0.057,50.0,185.0,0.9978,3.39,0.38,9.6,6
Chardonnay Puglia 2019,0.26,0.24,1.7,0.05,10.0,112.0,0.99286,3.11,0.43,9.9,5
Ermita Veracruz Verdejo 2018,0.54,0.0,0.8,0.032,12.0,82.0,0.99286,3.25,0.36,8.8,5
Chardonnay Leithaberg 2014,0.28,0.4,11.9,0.032,13.0,92.0,0.99629,3.01,0.46,10.8,4
Barrel Fermented Chenin Blanc 2018,0.55,0.14,8.3,0.032,35.0,164.0,0.9918,3.53,0.51,12.5,8
Pioneer Block 21 Bell Block Sauvignon Blanc 2018,0.18,0.31,1.7,0.044,30.0,127.0,0.9928,3.49,0.5,10.2,7
Opale 2018,0.34,0.25,2.0,0.042,12.0,110.0,0.99034,3.02,0.54,11.4,6
Forster Ungeheuer Riesling 2018,0.17,0.33,6.0,0.036,30.0,111.0,0.99362,3.32,0.58,10.15,7
La Segreta Il Bianco 2018,0.33,0.3,3.3,0.034,30.0,102.0,0.9912,3.08,0.31,12.3,7
Sauvignon Blanc 2019,0.43,0.24,6.7,0.058,40.0,163.0,0.995,3.2,0.41,9.9,5
Lafóa Chardonnay 2018,0.27,0.34,10.2,0.048,50.0,118.0,0.99716,3.18,0.51,10.3,5
Petite Arvine 2018,0.29,0.58,17.5,0.041,51.0,225.0,0.9997,3.16,0.66,9.5,6
Albariño 2018,0.34,0.32,2.0,0.051,29.0,130.0,0.99354,3.3,0.5,10.4,6
Is Argiolas Vermentino di Sardegna 2019,0.25,0.28,1.6,0.052,46.0,169.0,0.9926,3.05,0.41,10.5,5
Réserve Spéciale Sauvignon Blanc 2019,0.46,0.31,1.7,0.052,50.0,183.0,0.9923,3.03,0.42,11.2,5
Chardonnay 2019,0.3,0.42,7.35,0.025,51.0,175.0,0.9928,3.04,0.32,11.4,6
Sauvignon Blanc 2019,0.39,0.39,11.9,0.057,51.0,221.0,0.99851,3.26,0.51,8.9,6
Spiegel Sauvignon Blanc 2017,0.28,0.34,4.2,0.028,36.0,116.0,0.991,2.99,0.41,12.3,8
Montagny 1er Cru La Grande Roche 2018,0.33,0.36,6.6,0.042,34.0,116.0,0.99123,2.97,0.31,12.2,8
Stoan 2018,0.33,0.32,7.8,0.052,52.0,183.0,0.99657,3.39,0.65,9.5,5
Chablis 2018,0.19,0.27,13.9,0.057,45.0,155.0,0.99807,2.94,0.41,8.8,8
Rueda Verdejo 2018,0.39,0.79,1.4,0.194,23.0,90.0,0.99212,3.17,0.46,10.5,6
Sauvignon Côtes de Gascogne 2019,0.31,0.32,4.5,0.024,28.0,94.0,0.98906,3.25,0.52,13.7,7
Nierstein Riesling Trocken 2017,0.25,0.54,7.0,0.046,58.0,176.0,0.99454,3.19,0.7,10.4,5
SL Riesling Trocken 2016,0.22,0.29,1.2,0.045,69.0,152.0,0.99178,3.76,0.63,11.0,7
Bourgogne Le Chardonnay de Chardonnay 2017,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3,7
Josephshöfer Riesling Kabinett Feinherb 2018,0.16,0.4,1.5,0.044,48.0,143.0,0.9912,3.54,0.52,12.4,7
Terra Montosa Riesling 2018,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,3
Villa Torre Verdicchio dei Castelli di Jesi Classico Superiore 2017,0.39,0.17,12.0,0.046,65.0,246.0,0.9976,3.15,0.38,9.0,6
Rotschiefer Riesling 2018,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,7
Paulessen Riesling 2018,0.27,0.31,5.0,0.043,54.0,170.0,0.9924,3.28,0.52,11.0,6
Kiedrich Klosterberg Riesling Trocken 2017,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,3.09,0.39,11.4,5
Mongris Collio Pinot Grigio 2017,0.2,0.14,4.4,0.184,35.0,168.0,0.99396,2.93,0.45,9.4,6
15 Pinot Grigio 2018,0.31,0.02,11.1,0.036,20.0,114.0,0.99248,3.75,0.44,12.4,6
Riesling 2018,0.44,0.88,6.2,0.049,20.0,124.0,0.9968,2.99,0.51,9.9,4
Muscadet Sèvre-et-Maine Sur Lie 2017,0.24,0.39,17.3,0.052,22.0,126.0,0.99888,3.11,0.47,9.2,6
Director's Chardonnay 2017,0.37,0.32,1.0,0.053,31.0,218.5,0.9924,3.29,0.72,9.8,6
Crozes Hermitage Domaine Mule Blanche 2017,0.22,0.28,7.2,0.06,41.0,132.0,0.9935,3.08,0.59,11.3,6
Gris 2008,0.28,0.17,8.3,0.042,61.0,195.0,0.99577,3.22,0.46,9.4,5
Cuvée Terlaner 2018,0.31,0.35,7.2,0.046,45.0,178.0,0.9955,3.14,0.53,9.7,5
Coronata Integration 2016,0.17,0.54,8.5,0.082,64.0,163.0,0.9959,2.89,0.39,8.8,6
Müller-Thurgau Trocken 2018,0.24,0.3,1.2,0.037,11.0,95.0,0.98914,2.96,0.36,12.5,6
Rías Baixas Albariño 2019,0.33,0.3,3.8,0.036,34.0,88.0,0.99028,3.25,0.63,12.5,7
Goruli Mtsvane 2014,0.3,0.42,14.3,0.045,45.0,213.0,0.9991,3.18,0.63,9.2,5
Penedès Blanc de Blancs Clos de Torribas 2018,0.34,0.27,6.2,0.059,23.0,136.0,0.9957,3.3,0.49,10.1,6
Vire-Clessé 2014,0.33,0.28,5.7,0.033,39.0,204.0,0.99176,3.17,0.64,12.5,6
1791 Sauvignon Blanc 2019,0.17,0.23,2.9,0.039,10.0,108.0,0.99243,3.28,0.5,10.0,5
Kellermeister Privat Kremser Goldberg Grüner Veltliner 2018,0.28,0.34,1.6,0.028,32.0,118.0,0.9901,3.0,0.38,12.1,7
Fief Guérin Vieilles Vignes Muscadet Côtes de Grandlieu Sur Lie 2018,0.25,0.49,7.6,0.052,67.0,226.0,0.9956,3.16,0.47,8.9,5
Sancerre Blanc 2019,0.19,0.25,1.4,0.051,41.0,107.0,0.99382,3.53,0.66,10.5,7
Marani 2017,0.4,0.46,6.2,0.056,42.0,241.0,0.9968,3.5,0.6,9.9,5
Toreye Ménage À Trois 2018,0.63,0.04,1.3,0.058,25.0,133.0,0.99271,3.17,0.39,10.2,4
Soave 2018,0.2,0.58,1.4,0.204,15.0,97.0,0.9931,3.16,0.43,10.0,6
Villa Solais Vermentino di Sardegna 2019,0.17,0.28,4.5,0.033,46.0,150.0,0.9933,3.43,0.49,10.9,6
Riesling Trocken 2018,0.21,0.31,1.8,0.033,45.0,142.0,0.98984,3.35,0.5,12.7,6
Les Vignes de Saint Laurent l'Abbaye Pouilly-Fumé 2017,0.25,0.34,4.7,0.031,34.0,134.0,0.9927,3.21,0.38,10.6,6
Gelber Muskateller 2018,0.31,0.26,8.6,0.048,47.0,206.0,0.9964,3.26,0.36,9.1,5
Hattenheimer Schützenhaus Riesling Kabinett 2018,0.36,0.27,3.2,0.032,13.0,73.0,0.98942,2.9,0.69,12.6,7
Scharzhofberger Riesling Kabinett 2016,0.37,0.33,1.2,0.028,13.0,81.0,0.9902,3.37,0.38,11.7,6
Verdejo Rueda 2019,0.29,0.5,13.3,0.053,48.0,194.0,0.9974,3.09,0.45,9.4,5
The Young Airhawk 2017,0.19,0.31,14.5,0.045,39.0,193.0,0.9986,3.1,0.5,9.2,6
Salmariano Castelli di Jesi Verdicchio Riserva Classico 2014,0.13,0.32,14.4,0.051,34.0,109.0,0.9974,3.2,0.35,9.2,6
Biancosesto 2013,0.33,0.41,16.8,0.037,58.0,173.0,0.99882,3.25,0.57,9.4,6
Is Argiolas Vermentino di Sardegna 2018,0.21,0.4,1.2,0.039,38.0,107.0,0.992,3.21,0.54,10.8,6
Souvignier Gris 2017,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,7
Sauvignon Blanc 2019,0.35,0.31,10.2,0.069,58.0,170.0,0.99692,3.18,0.49,9.4,5
Sandstein Riesling Trocken 2018,0.44,0.62,11.8,0.044,52.0,152.0,0.9975,3.12,0.46,8.7,6
Sauvignon Blanc 2018,0.28,0.28,2.2,0.019,15.0,65.0,0.9902,3.06,0.52,11.2,6
1851 Reserva Chardonnay 2017,0.28,0.19,7.8,0.04,48.0,184.0,0.99579,3.16,0.5,9.4,5
Riesling Alsace Grand Cru 'Saering' 2017,0.28,0.41,7.0,0.046,59.0,194.0,0.99558,3.14,0.48,9.4,5
Sauvignon Blanc 2016,0.25,0.27,4.7,0.031,31.0,92.0,0.9922,3.01,0.33,12.0,6
Berg Riesling 2018,0.24,0.27,11.4,0.034,40.0,174.0,0.99773,3.2,0.44,9.0,5
Vieilles Vignes Côtes Catalanes Blanc 2017,0.31,0.44,6.7,0.054,29.0,160.0,0.9952,3.04,0.44,9.6,5
Fiano Salento 2018,0.37,0.07,1.4,0.048,58.0,144.0,0.9922,3.17,0.38,10.0,5
Marienburg GG Fahrlay 2016,0.19,0.31,14.5,0.045,39.0,193.0,0.9986,3.1,0.5,9.2,6
Nicole Vineyard Viognier Réserve 2019,0.25,0.28,8.5,0.035,28.0,108.0,0.99486,3.4,0.42,10.4,6
Vita Bella Côtes de Provence 2016,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49,9.5,6
Grüner Veltliner 2018,0.16,0.26,6.3,0.043,28.0,113.0,0.9936,3.06,0.58,9.9,6
Sauvignon Blanc Reserve Collection Elgin 2018,0.23,0.39,13.7,0.058,26.0,172.0,0.99755,2.9,0.46,9.0,6
Sauvignon Blanc 2017,1.005,0.46,1.4,0.046,34.0,185.0,0.9966,3.02,0.49,10.2,4
Lugana Sergio Riserva 2016,0.185,0.19,7.1,0.048,36.0,110.0,0.99438,3.26,0.41,9.5,6
Wehlener Sonnenuhr Riesling Kabinett 2014,0.38,0.53,1.4,0.142,5.0,69.0,0.9926,3.14,0.52,10.1,4
Riesling Heiligenstein 2014,0.26,0.3,4.6,0.027,29.0,92.0,0.99085,3.15,0.38,12.0,7
Pouilly-Vinzelles 2017,0.2,0.26,1.1,0.033,38.0,67.0,0.98954,3.14,0.38,11.5,6
Lusco Albariño 2018,0.22,0.4,2.4,0.054,18.0,151.0,0.9952,3.04,0.46,9.3,4
Riesling Stielweg Alte Reben 2018,0.29,0.41,7.8,0.046,52.0,171.0,0.99537,3.12,0.51,9.6,5
El Viaje de Ramón Verdejo 2018,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,6
Mineral Riesling Trocken 2017,0.21,0.33,3.0,0.036,35.0,132.0,0.9928,3.25,0.4,11.0,6
Pinot Grigio 2018,0.38,0.29,13.65,0.048,52.0,189.0,0.99784,3.0,0.6,9.5,6
Pouilly-Fumé 2018,0.17,0.27,0.7,0.03,11.0,68.0,0.99218,3.3,0.41,9.8,5
Qvevri 2016,0.13,0.36,1.6,0.052,23.0,72.0,0.98974,3.1,0.5,11.5,7
Timeo Grillo 2018,0.12,0.33,2.9,0.044,21.0,73.0,0.98896,3.17,0.32,12.9,8
Pouilly-Fuissé 2016,0.27,0.49,1.4,0.05,20.0,74.0,0.9931,3.32,0.44,9.8,6
Rioja Viura 2018,0.35,0.26,6.8,0.034,36.0,120.0,0.99188,3.38,0.4,11.5,6
The Olive Grove Chardonnay 2017,0.13,0.29,5.3,0.051,31.0,122.0,0.9944,3.44,0.37,9.7,6
Himmelspfad Silvaner GG Retzstadter Langenberg 2017,0.22,0.37,15.0,0.053,59.0,178.0,0.9992,3.37,0.82,9.5,7
One Man Band White 2016,0.415,0.02,0.8,0.038,22.0,63.0,0.9932,3.36,0.36,9.3,5
Steinbuckel Riesling GG 2015,0.23,0.23,3.5,0.038,23.0,112.0,0.99157,3.05,0.37,11.3666666666667,6
Bianco di Custoza 2016,0.18,0.34,2.7,0.03,30.0,107.0,0.992,2.97,0.53,11.0,6
Riesling Trocken 2016,0.31,0.07,1.5,0.033,55.0,144.0,0.99208,3.16,0.42,10.0,5
Torrontes 2017,0.28,0.22,12.8,0.039,51.0,150.0,0.99535,3.23,0.43,10.7,6
Mâcon-La Roche-Vineuse 2015,0.53,0.16,2.7,0.036,34.0,128.0,0.98856,3.2,0.53,13.2,8
Parcela 52 Verdejo 2017,0.22,0.26,9.2,0.027,37.0,122.0,0.99228,3.06,0.34,12.5,8
Chardonnay 2017,0.19,0.49,1.8,0.055,19.0,110.0,0.9946,3.33,0.44,9.9,5
Langenmorgen GG 2015,0.23,0.36,13.0,0.051,72.0,177.0,0.9972,3.16,0.49,9.8,5
Fonte da Serrana Branco 2018,0.4,0.3,5.3,0.038,20.0,125.0,0.99204,3.36,0.73,12.6,6
Chardonnay 2017,0.405,0.15,1.45,0.038,10.0,44.0,0.99125,3.52,0.4,11.6,4
Sauvignon Blanc 2018,0.34,0.29,6.1,0.046,29.0,134.0,0.99462,3.48,0.57,10.7,6
Bitácora Verdejo 2019,0.25,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47,9.8,6
Riesling Trocken 2018,0.32,0.22,16.7,0.046,38.0,133.0,0.9979,3.22,0.67,10.4,6
Grauer Burgunder Trocken 2018,0.58,0.3,5.1,0.057,30.0,123.0,0.9949,3.24,0.38,9.0,5
Sauvignon Blanc 2019,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5
Chardonnay 2019,0.27,0.33,1.4,0.042,24.0,183.0,0.99215,3.29,0.46,10.7,5
Sauvignon Gris 2018,0.24,0.32,1.3,0.037,39.0,123.0,0.992,3.17,0.42,11.2,8
Ried Steinriegl Sauvignon Blanc 2017,0.37,0.51,11.8,0.044,62.0,163.0,0.9976,3.19,0.44,8.8,5
Bourgogne Chardonnay 2017,0.24,0.22,10.7,0.042,26.0,81.0,0.9954,2.86,0.36,9.7,6
Pouilly-Fumé Indigene 2018,0.27,0.24,3.8,0.058,19.0,115.0,0.9958,3.15,0.45,8.9,5
Sauvignon Côtes de Gascogne 2018,0.34,0.4,8.1,0.046,68.0,170.0,0.99494,3.15,0.5,9.55,6
Lenz Riesling 2017,0.14,0.3,5.4,0.045,26.0,105.0,0.99469,3.32,0.45,9.3,5
Coteaux Varois en Provence Blanc 2018,0.26,0.42,7.1,0.045,62.0,209.0,0.99544,3.2,0.53,9.5,6
Nosso Verdejo 2018,0.2,0.26,6.8,0.049,22.0,93.0,0.9928,3.15,0.42,11.0,6
Burgberg Riesling GG 2015,0.26,0.2,8.0,0.047,35.0,111.0,0.99445,3.11,0.42,10.4,6
Clos des Criots Pouilly-Fumé 2017,0.19,0.31,6.3,0.034,17.0,103.0,0.99305,3.15,0.52,11.4,7
Prail Sauvignon 2015,0.16,0.32,12.5,0.035,18.0,156.0,0.99666,2.88,0.36,9.0,6
Great Expectations Sauvignon Blanc 2019,0.29,0.32,5.8,0.04,16.0,112.0,0.993,3.04,0.58,11.2,5
Sancerre Blanc 2018,0.3,0.35,4.6,0.032,32.0,148.0,0.99458,3.15,0.45,11.5,7
Wehlener Sonnenuhr Riesling Spätlese 2017,0.21,0.3,10.9,0.037,18.0,112.0,0.997,3.4,0.5,9.6,6
Rueda Verdejo 2019,0.31,0.38,16.05,0.058,16.0,165.0,0.9997,3.38,0.6,9.2,5
